session_id,user_id,session_date,time_spent_seconds,device
1,1,2024-06-17,10019,Desktop
2,1,2019-11-18,1447,Mobile
3,1,2019-11-25,1906,Desktop
4,1,2023-08-22,421,Tablet
5,2,2020-08-16,5129,Tablet
6,2,2023-12-26,967,Desktop
7,3,2021-09-26,769,Desktop
8,3,2021-12-27,720,Desktop
9,3,2023-08-24,5077,Desktop
10,3,2024-02-19,1446,Desktop
11,3,2024-03-22,623,Desktop
12,3,2020-05-14,1955,Mobile
13,4,2023-03-25,6320,Tablet
14,4,2024-10-18,2781,Desktop
15,4,2024-03-28,1527,Mobile
16,4,2024-03-23,4394,Desktop
17,4,2022-07-18,4739,Mobile
18,5,2014-08-21,3327,Desktop
19,5,2018-12-08,12718,Mobile
20,5,2023-05-18,2745,Mobile
21,6,2016-07-25,1419,Desktop
22,6,2015-05-13,5095,Mobile
23,6,2016-10-19,8492,Mobile
24,6,2014-08-10,2067,Mobile
25,6,2019-05-04,582,Mobile
26,6,2015-04-21,7496,Tablet
27,6,2015-05-24,2026,Desktop
28,7,2024-06-23,1814,Desktop
29,7,2023-02-13,17615,Mobile
30,7,2022-04-03,1103,Desktop
31,7,2023-10-04,1122,Desktop
32,8,2023-10-29,2075,Desktop
33,8,2016-12-04,663,Desktop
34,8,2017-02-24,4154,Desktop
35,8,2023-06-09,4174,Desktop
36,8,2019-07-21,10754,Tablet
37,8,2020-06-12,9378,Desktop
38,9,2018-11-28,2950,Tablet
39,9,2021-12-02,2772,Desktop
40,9,2019-08-15,2616,Mobile
41,9,2023-10-02,17813,Desktop
42,9,2023-05-20,2011,Desktop
43,9,2019-11-27,3449,Tablet
44,9,2024-05-05,657,Desktop
45,9,2024-01-11,4942,Desktop
46,10,2023-08-09,5250,Desktop
47,10,2021-09-04,8810,Tablet
48,10,2020-02-20,3737,Desktop
49,10,2014-07-31,6275,Desktop
50,10,2015-03-27,705,Mobile
51,10,2018-04-04,2239,Mobile
52,11,2012-07-27,3858,Desktop
53,11,2016-03-24,6592,Mobile
54,11,2024-05-07,1790,Mobile
55,11,2022-10-06,1489,Desktop
56,12,2019-10-31,4521,Tablet
57,12,2023-10-18,1351,Mobile
58,12,2016-07-15,955,Mobile
