subscription_id,user_id,subscription_date,subscription_cancel_date
1,1,2022-05-02,
2,3,2020-01-24,2020-12-28
3,3,2023-07-14,
4,4,2024-07-04,
5,5,2020-05-14,2021-08-19
6,7,2023-03-17,2024-02-04
7,8,2024-10-25,2024-12-29
8,9,2018-09-27,2022-03-02
9,13,2024-01-08,
10,14,2020-10-08,
11,16,2019-01-17,
12,17,2014-04-30,2020-09-09
13,18,2020-01-02,
14,19,2018-09-06,2019-12-21
15,20,2022-01-07,
16,21,2021-10-14,
17,22,2019-01-11,2022-10-08
18,22,2023-06-03,2024-06-04
19,22,2024-12-29,
20,23,2024-10-20,2024-11-12
21,23,2024-11-17,
22,26,2019-06-16,
23,27,2016-05-01,2021-04-07
24,27,2021-06-15,2021-11-13
25,28,2024-03-26,2024-04-16
26,29,2018-08-13,2019-01-05
27,32,2018-03-22,
28,33,2022-12-05,2024-05-26
29,34,2024-08-10,
30,36,2024-06-29,
31,38,2019-12-12,2021-07-26
32,39,2022-06-14,
33,42,2021-01-03,
34,43,2016-07-01,
35,44,2020-02-25,2022-11-29
36,45,2019-05-29,2024-03-13
37,45,2024-06-14,
38,47,2021-06-02,
39,48,2023-07-26,2023-09-12
40,49,2021-02-02,
41,52,2023-04-02,
42,53,2016-10-04,2021-03-31
43,55,2023-11-22,
44,57,2022-04-01,2024-02-09
45,57,2024-05-10,
46,58,2018-06-08,2021-07-14
47,59,2023-11-19,
48,60,2022-06-03,
49,61,2021-06-18,2024-02-28
50,62,2021-05-22,
51,63,2023-08-06,
52,65,2020-10-31,
53,67,2011-08-06,2018-06-09
54,69,2023-06-26,
55,71,2014-05-12,
56,73,2023-09-03,
57,74,2019-01-31,
58,76,2016-08-02,
59,77,2024-07-26,
60,79,2020-08-24,
61,81,2024-07-20,
62,82,2020-08-24,2023-06-08
63,84,2021-04-16,2023-09-01
64,84,2024-09-06,
65,85,2018-07-01,
66,87,2023-01-29,2024-05-12
67,89,2022-11-13,
68,92,2018-11-30,2021-08-08
69,93,2021-10-20,
70,94,2023-03-24,2024-07-20
71,96,2020-03-24,2020-09-13
72,99,2022-09-21,2024-04-23
73,99,2024-07-30,
74,100,2020-03-28,
75,101,2011-04-05,
76,102,2023-06-22,2023-09-07
77,103,2022-11-03,
78,104,2022-11-10,2023-02-24
79,105,2014-10-01,2017-04-01
80,107,2022-04-14,2023-12-18
81,108,2023-11-23,
82,109,2017-03-10,
83,110,2017-06-02,2018-06-08
84,111,2022-03-29,2023-10-05
85,112,2013-01-05,
86,113,2021-10-09,2022-05-25
87,113,2023-04-01,2024-03-17
88,114,2024-06-21,
89,115,2019-05-15,
90,116,2023-09-23,
91,117,2022-09-22,
92,118,2023-01-27,2024-04-18
93,118,2024-10-01,2024-11-12
94,119,2018-02-28,2020-05-17
95,120,2024-11-10,
96,121,2023-09-17,
97,123,2024-10-05,2024-10-17
98,126,2023-12-16,2024-10-09
99,127,2024-02-14,
100,128,2021-10-30,
101,129,2021-09-02,2024-04-26
102,129,2024-09-06,2024-12-01
103,130,2023-08-11,
104,134,2021-03-11,2022-05-24
105,135,2023-02-03,
106,137,2018-01-21,2021-07-10
107,138,2024-07-08,
108,141,2023-12-07,
109,142,2023-11-24,
110,144,2021-04-19,2024-07-26
111,145,2024-06-29,2024-09-18
112,145,2024-11-26,
113,146,2024-07-22,
114,147,2015-05-31,
115,148,2020-04-10,
116,150,2018-12-23,
117,152,2022-01-05,
118,153,2023-08-27,2024-04-13
119,153,2024-12-03,2024-12-16
120,153,2024-12-17,2024-12-27
121,155,2023-01-26,
122,157,2023-11-09,
123,158,2024-12-21,
124,159,2023-07-17,2024-12-10
125,160,2013-03-20,
126,162,2017-10-15,2022-04-13
127,162,2023-06-26,2024-01-18
128,164,2020-05-26,2022-02-04
129,167,2019-07-23,
130,168,2020-05-31,
131,171,2024-07-18,
132,172,2022-06-19,2023-03-10
133,173,2022-09-16,2023-04-08
134,173,2023-08-05,
135,174,2024-01-22,
136,175,2018-08-04,2021-04-03
137,176,2015-03-31,
138,177,2024-06-30,2024-09-02
139,178,2022-08-28,
140,180,2019-01-21,2021-07-30
141,180,2021-09-21,2024-06-23
142,182,2013-03-19,
143,183,2024-10-26,
144,184,2021-08-17,2022-03-15
145,185,2021-07-21,
146,187,2022-03-28,
147,190,2024-11-17,2024-12-18
148,191,2024-02-23,2024-08-05
149,192,2024-03-03,2024-07-08
150,193,2020-07-31,
151,194,2022-02-20,
152,196,2017-01-26,2019-10-05
153,197,2024-09-27,2024-11-15
154,197,2024-12-21,2024-12-29
155,198,2023-12-27,2024-03-15
156,200,2024-10-01,
157,201,2024-05-01,2024-09-12
158,201,2024-09-14,2024-09-30
159,202,2022-03-28,2023-01-10
160,203,2019-12-27,2023-09-12
161,205,2023-12-18,
162,207,2015-12-15,2019-03-15
163,209,2020-01-25,
164,210,2022-08-22,2023-05-20
165,212,2022-05-05,
166,214,2020-08-07,
167,216,2022-03-18,
168,218,2024-08-18,2024-11-17
169,218,2024-12-14,2024-12-22
170,221,2022-04-05,
171,222,2015-10-01,
172,223,2021-06-22,
173,226,2024-06-15,
174,228,2023-09-23,
175,229,2023-06-21,
176,232,2018-10-07,2022-10-14
177,234,2024-09-23,
178,235,2019-02-25,
179,237,2017-06-07,2023-10-03
180,238,2011-09-11,
181,239,2021-10-25,2023-05-19
182,240,2024-07-01,2024-07-27
183,240,2024-10-24,2024-11-28
184,241,2020-12-06,
185,242,2024-12-17,
186,243,2023-02-04,2023-09-19
